,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
33411,ukb-b-2002,Job involves heavy manual or physical work,263615,9851867,2018,MRC-IEU,Ben Elsworth,816: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
33430,ukb-b-8470,Operation code: other bowel surgery,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1466: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2814,460119,NA
33434,ukb-a-22,Number of self-reported non-cancer illnesses,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33440,ieu-a-1137,ER- Breast cancer (GWAS),22068,10680257,2017,BCAC,Michailidou K,NA,public,1,Females,29059683,1,European,log odds,HG19/GRCh37,Disease,Cancer,NA,4480,17588,NA
33444,ukb-b-15926,Cereal intake,441640,9851867,2018,MRC-IEU,Ben Elsworth,1458: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
33454,bbj-a-31,Low-density-lipoprotein cholesterol,72866,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
33456,met-c-900,Free cholesterol in medium HDL,21559,11869673,2016,NA,Kettunen,M.HDL.FC; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.39
33458,ukb-d-22617_7212,Job SOC coding: Customer care occupations,91149,10159407,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1683,89466,NA
33471,ukb-b-17532,Diagnoses - secondary ICD10: E14.9 Without complications,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#E149: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1305,461705,NA
33473,ukb-b-17992,Diagnoses - main ICD10: I84.2 Internal haemorrhoids without complication,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#I842: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1461,461549,NA
33484,ukb-b-11670,Treatment/medication code: tramadol,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140864992: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5106,457827,NA
33490,ukb-b-14147,Risk taking,446279,9851867,2018,MRC-IEU,Ben Elsworth,2040: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,117515,328764,NA
33518,ukb-b-288,Treatment/medication code: folic acid product,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140870422: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3883,459050,NA
33538,ukb-d-Z13,Diagnoses - main ICD10: Z13 Special screening examination for other diseases and disorders,361194,10673821,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2236,358958,NA
33570,ukb-b-7879,PCT where patients GP was registered: SOUTH WEST OXFORDSHIRE PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5DY: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2273,460737,NA
33571,ukb-b-7118,Diagnoses - main ICD10: M23.23 Derangement of meniscus due to old tear or injury (Medial collateral ligament or Other and unspecified medial meniscus),463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#M2323: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2596,460414,NA
33577,ebi-a-GCST006061,Atrial fibrillation,537409,12095506,2018,NA,Roselli C,NA,public,1,NA,29892015,0,European,logOR,HG19/GRCh37,NA,NA,NA,55114,482295,NA
33605,ukb-b-19199,Operative procedures - secondary OPCS: Y80.2 Inhalation anaesthetic using endotracheal intubation NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y802: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3626,459384,NA
33611,ebi-a-GCST006097,Moderate to vigorous physical activity levels,377234,11808007,2018,NA,Klimentidis YC,NA,public,1,NA,29899525,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33622,ukb-a-459,Vitamin and mineral supplements: None of the above,335591,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,231424,104167,NA
33627,ukb-b-2528,Operation code: spinal laminectomy,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1492: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3951,458982,NA
33628,ukb-a-96,Non-cancer illness code  self-reported: muscle or soft tissue injuries,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,2469,334690,NA
33648,ebi-a-GCST006465,Endometrial cancer (endometrioid histology),54884,9464330,2018,NA,O'Mara TA,NA,public,1,NA,30093612,0,European,NA,HG19/GRCh37,NA,NA,NA,8758,46126,NA
33660,ebi-a-GCST005180,Homeostasis model assessment of beta-cell function,36466,2429924,2010,NA,Dupuis J,NA,public,1,NA,20081858,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33662,ieu-a-1095,Age at menarche,182416,2441816,2014,ReproGen,Perry JR,NA,public,1,Females,25231870,1,European,years,HG19/GRCh37,Risk factor,Reproductive aging,NA,NA,NA,NA
33663,ieu-a-1094,Parents' age at death,75244,9583643,2016,UK Biobank,Pilling,Combined parents age at death (z-scored); Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,public,1,Males and Females,27015805,1,European,SD,HG19/GRCh37,Risk factor,Aging,NA,NA,NA,NA
33666,ukb-b-1046,Duration of strenuous sports,46993,9851867,2018,MRC-IEU,Ben Elsworth,1001: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
33671,ukb-b-5227,Operation code: male circumcision,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1490: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4217,458716,NA
33678,ukb-b-4868,Operative procedures - secondary OPCS: R14.9 Unspecified surgical induction of labour,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#R149: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1374,461636,NA
33691,ukb-b-14847,Operative procedures - secondary OPCS: P27.3 Colposcopy of vagina,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#P273: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1013,461997,NA
33692,ukb-d-22601_42163303,"Job coding: receptionist, doctor's/dental receptionist",89866,9434757,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1088,88778,NA
33694,ukb-b-15601,Broccoli intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,104140: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
33713,ukb-b-16499,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1387: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,26107,436826,NA
33722,met-d-IDL_CE,Cholesteryl esters in IDL,114999,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
33723,ukb-b-3229,Diagnoses - secondary ICD10: D70 Agranulocytosis,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#D70: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1108,461902,NA
33738,ukb-b-5188,"Non-cancer illness code, self-reported: ear/vestibular disorder",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1415: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4012,458921,NA
33743,ukb-b-2618,Nitrogen dioxide air pollution; 2005,456380,9851867,2018,MRC-IEU,Ben Elsworth,24016: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
33748,ukb-a-563,Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee],337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,6560,330639,NA
33751,ukb-b-6414,PCT where patients GP was registered: TRAFFORD NORTH PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5F6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1119,461891,NA
33762,ukb-b-19651,Diagnoses - secondary ICD10: F10.2 Dependence syndrome,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#F102: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1290,461720,NA
33767,ukb-b-4955,Dairy smoothie intake,64941,9851867,2018,MRC-IEU,Ben Elsworth,100230: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
33786,ukb-b-13392,Diagnoses - secondary ICD10: K57.3 Diverticular disease of large intestine without perforation or abscess,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#K573: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,7137,455873,NA
33797,ukb-d-20425,Ever worried more than most people would in similar situation,98990,13569194,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,25623,73367,NA
33802,ebi-a-GCST006940,Neurociticism,380506,10824976,2018,NA,Nagel M,NA,public,1,NA,29500382,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33808,ukb-d-22617_4111,Job SOC coding: Civil Service executive officers,91149,11405295,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3475,87674,NA
33815,ukb-b-2875,Diagnoses - main ICD10: M16.1 Other primary coxarthrosis,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#M161: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2876,460134,NA
33827,ukb-b-1020,Operative procedures - secondary OPCS: Z70.5 Lower end of radius NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z705: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3490,459520,NA
33829,ukb-b-4465,Size of white wine glass drunk: small (125ml),64949,9851867,2018,MRC-IEU,Ben Elsworth,20095#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3196,61753,NA
33835,ukb-b-5602,Operative procedures - main OPCS: W36.5 Diagnostic extraction of bone marrow NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#W365: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2424,460586,NA
33844,ukb-b-11618,Operative procedures - secondary OPCS: Q55.3 Papanicolau smear NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Q553: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1617,461393,NA
33849,ukb-b-17049,"Non-cancer illness code, self-reported: tonsiltis",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1598: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3205,459728,NA
33852,ukb-b-1539,PCT where patients GP was registered: BROXTOWE AND HUCKNALL PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5EV: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2121,460889,NA
33856,ukb-b-16128,Treatment/medication code: meloxicam,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140926732: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1301,461632,NA
33874,ukb-d-22617_9219,Job SOC coding: Elementary office occupations n.e.c.,91149,11336024,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3340,87809,NA
33880,ukb-b-6352,Type of cancer: ICD10: C50.4 Upper-outer quadrant of breast,463010,9851867,2018,MRC-IEU,Ben Elsworth,40006#C504: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3340,459670,NA
33885,ukb-d-5610_3,Which eye(s) affected by presbyopia: Both eyes,31494,13535065,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,28009,3485,NA
33893,ukb-a-9,Sleep duration,335410,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33900,ebi-a-GCST005232,Neuroticism,329821,18436568,2017,NA,Luciano M,NA,public,1,NA,29255261,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33903,ukb-b-3875,Type of fat/oil used in cooking: Olive oil,64949,9851867,2018,MRC-IEU,Ben Elsworth,20090#353: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,23023,41926,NA
33921,met-d-ApoB_by_ApoA1,Ratio of apolipoprotein B to apolipoprotein A1,114999,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
33927,ukb-d-20079_4,Day-of-week questionnaire completion requested: Thursday,51427,13025267,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,8689,42738,NA
33928,ukb-b-9473,Operative procedures - main OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#G451: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,40003,423007,NA
33933,bbj-a-5,Alkaline phosphatase,105030,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
33948,ukb-a-144,Treatment/medication code: rhinocort 50micrograms nasal spray,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,145,337014,NA
33970,ebi-a-GCST004137,Optic cup area,22484,11094833,2017,NA,Springelkamp H,NA,public,1,NA,28073927,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
33975,ukb-b-19045,Diagnoses - main ICD10: J34.8 Other specified disorders of nose and nasal sinuses,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#J348: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1567,461443,NA
33976,ukb-a-313,Light smokers  at least 100 smokes in lifetime,90517,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,41027,49490,NA
33979,ebi-a-GCST007518,Type 2 diabetes (adjusted for BMI),298957,190208,2018,NA,Mahajan A,NA,public,1,NA,29632382,0,European,NA,HG19/GRCh37,NA,NA,NA,48286,250671,NA
33989,ukb-d-20542,Stronger worrying (than other people) during period of worst anxiety,25107,13530744,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,20719,4388,NA
33993,ukb-a-236,Ever smoked,336067,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,202585,133482,NA
33994,ukb-a-475,Pain type(s) experienced in last month: Hip pain,336650,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,37714,298936,NA
33999,ukb-d-5699,FI10 : arithmetic sequence recognition,20880,13520623,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,16721,4159,NA
34008,ukb-b-12763,Flavoured milk intake,64941,9851867,2018,MRC-IEU,Ben Elsworth,100530: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
34009,ukb-a-362,Heel bone mineral density (BMD) T-score  automated (right),106251,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34016,ukb-b-10215,Hand grip strength (right),461089,9851867,2018,MRC-IEU,Ben Elsworth,47: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
34017,ukb-b-9886,Chocolate biscuits intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,102350: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
34035,ukb-d-O63,Diagnoses - main ICD10: O63 Long labour,361194,9392820,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1060,360134,NA
34039,ukb-d-30280_irnt,Immature reticulocyte fraction,344728,13586217,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
34047,ukb-a-190,Treatment/medication code: levothyroxine sodium,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,13717,323442,NA
34054,ukb-b-11588,Manic/hyper symptoms: I needed less sleep than usual,31317,9851867,2018,MRC-IEU,Ben Elsworth,6156#13: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4245,27072,NA
34062,ukb-b-20190,"Diagnoses - main ICD10: L98.9 Disorder of skin and subcutaneous tissue, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#L989: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3223,459787,NA
34063,ukb-d-C_PRIMARY_LYMPHOID_HEMATOPOIETIC,Cancer of primary lymphoid hematopoietic,361194,11166429,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3030,358164,NA
34075,ukb-d-BRONCHITIS,Bronchitis,361194,11768596,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,4283,356911,NA
34081,ebi-a-GCST005185,Fasting blood insulin,51750,2598774,2012,NA,Manning AK,NA,public,1,NA,22581228,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34082,ukb-a-253,Wears glasses or contact lenses,336919,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,301012,35907,NA
34089,ukb-a-392,Maximum workload during fitness test,49623,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34092,ukb-b-6244,Exposure to tobacco smoke outside home,391502,9851867,2018,MRC-IEU,Ben Elsworth,1279: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
34094,ukb-a-298,Ever had prostate specific antigen (PSA) test,147970,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,46523,101447,NA
34098,ukb-d-22617_2421,Job SOC coding: Chartered and certified accountants,91149,10427036,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1972,89177,NA
34104,ukb-b-16340,Operation code: hip replacement/revision,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1318: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,7322,455611,NA
34114,ukb-b-4542,Reason for not eating or drinking normally: Away,64949,9851867,2018,MRC-IEU,Ben Elsworth,20085#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5003,59946,NA
34126,ukb-a-300,Relative age voice broke,144645,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34129,ukb-d-22608_2,Workplace very hot: Often,90165,13296638,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,10169,79996,NA
34133,ukb-a-549,Diagnoses - main ICD10: K40 Inguinal hernia,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,8815,328384,NA
34141,ukb-a-361,Heel bone mineral density (BMD) T-score  automated (left),106254,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34157,met-d-L_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in large VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
34163,ieu-a-297,Alzheimer's disease,54162,7055882,2013,IGAP,Lambert,Effect allele frequencies are missing; forward(+) strand,public,1,Males and Females,24162737,2,European,log odds,HG19/GRCh37,Disease,Psychiatric / neurological,NA,17008,37154,NA
34166,ukb-a-207,Illnesses of father: High blood pressure,292053,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,66341,228609,NA
34167,ukb-b-227,Operative procedures - main OPCS: U20.1 Transthoracic echocardiography,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#U201: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1388,461622,NA
34178,ukb-b-10309,Operation code: myomectomy/fibroids removed,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1509: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2559,460374,NA
34218,ukb-d-20548_6,Manifestations of mania or irritability: I was more creative or had more ideas than usual,114422,11200219,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3090,111332,NA
34228,ieu-a-118,Neuroticism,160958,6949615,2014,GPC,de Moor,Effect allele frequencies are missing,public,1,Males and Females,25993607,1,European,arbitrary score,HG19/GRCh37,Risk factor,Psychiatric / neurological,NA,NA,NA,NA
34244,met-d-Total_P,Total concentration of lipoprotein particles,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
34252,ukb-b-19266,"Diagnoses - main ICD10: D12.6 Colon, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#D126: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1870,461140,NA
34255,ukb-a-558,Diagnoses - main ICD10: K76 Other diseases of liver,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,356,336843,NA
34263,ukb-b-352,Total errors traversing alphanumeric path (trail #2),40607,9851867,2018,MRC-IEU,Ben Elsworth,20248: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
34273,ukb-b-11311,"Diagnoses - secondary ICD10: F41.9 Anxiety disorder, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#F419: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1523,461487,NA
34279,ebi-a-GCST006701,Parental longevity (father's attained age),415311,11489837,2017,NA,Pilling LC,NA,public,1,NA,29227965,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34285,ukb-b-11231,Diagnoses - secondary ICD10: Z85.8 Personal history of malignant neoplasms of other organs and systems,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z858: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3509,459501,NA
34291,ebi-a-GCST004625,Monocyte count,170721,29166012,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
34294,ukb-b-6989,Type of baguette eaten: white,64949,9851867,2018,MRC-IEU,Ben Elsworth,20092#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3765,61184,NA
